,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
3537,10.1002/solr.201800317,2019-01-11,Solar RRL,1.03,19.71,0.736,14.95,100.0,1.6,MAPbI,nip,10.1002/solr.201800317,22,Solar RRL,2019-01-11
3538,10.1021/jacs.9b07182,2019-10-23,Journal of the American Chemical Society,1.18,16.31,0.7879999999999999,14.95,100.0,,CsPbBrI,nip,10.1021/jacs.9b07182,67,Journal of the American Chemical Society,2019-10-23
3539,10.1016/j.joule.2018.06.012,2018-07-03,Joule,0.95,21.37,0.7340000000000001,14.96,100.0,1.6,FAMAPbBrI,nip,10.1016/j.joule.2018.06.012,69,Joule,2018-07-03
3540,10.1016/j.solmat.2018.01.025,2018-03-22,Solar Energy Materials and Solar Cells,1.005,19.08,0.69,14.96,100.0,1.596,MAPbI,pin,10.1016/j.solmat.2018.01.025,23,Solar Energy Materials and Solar Cells,2018-03-22
3541,10.1016/j.solmat.2017.08.032,2017-09-08,Solar Energy Materials and Solar Cells,1.013,23.61,0.688,14.97,100.0,,FAMAPbI,nip,10.1016/j.solmat.2017.08.032,36,Solar Energy Materials and Solar Cells,2017-09-08
3542,10.1186/s11671-017-2247-x,2017-08-16,Nanoscale Research Letters,1.02,18.65,0.7909999999999999,14.97,100.0,1.6,MAPbI,nip,10.1186/s11671-017-2247-x,19,Nanoscale Research Letters,2017-08-16
3543,10.1039/c8tc00455b,2018-05-01,Journal of Materials Chemistry C,1.09,18.58,0.74,14.98,100.0,1.62,MAPbI,pin,10.1039/c8tc00455b,8,Journal of Materials Chemistry C,2018-05-01
3544,10.1002/adma.201907361,2020-01-15,Advanced Materials,1.23,15.880999999999998,0.77,14.98,100.0,,CsPbBrI,pin,10.1002/adma.201907361,47,Advanced Materials,2020-01-15
3545,10.1039/c7se00094d,2017-04-12,Sustainable Energy & Fuels,0.971,23.7,0.65,14.98,100.0,,FAMAPbI,nip,10.1039/c7se00094d,66,Sustainable Energy & Fuels,2017-04-12
3546,10.1021/acs.jpcc.5b02984,2015-06-10,The Journal of Physical Chemistry C,1.08,20.04,0.695,14.99,100.0,1.6,MAPbI,nip,10.1021/acs.jpcc.5b02984,72,The Journal of Physical Chemistry C,2015-06-10
3547,10.1007/s00339-019-2866-4,2019-08-01,Applied Physics A,1.06,21.0,0.67,14.99,100.0,1.51,FAPbI,pin,10.1007/s00339-019-2866-4,5,Applied Physics A,2019-08-01
3548,10.1039/c7sc03543h,2017-09-25,Chem. Sci.,1.01,23.1,0.7040000000000001,15.0,100.0,1.6,MAPbI,nip,10.1039/c7sc03543h,29,Chem. Sci.,2017-09-25
3549,10.1002/adfm.201602736,2016-10-12,Advanced Functional Materials,1.01,22.9,0.649,15.0,100.0,1.55,MAPbI,nip,10.1002/adfm.201602736,18,Advanced Functional Materials,2016-10-12
3550,10.1002/aenm.201602600,2017-03-03,Advanced Energy Materials,1.08,21.8,0.64,15.0,100.0,1.6,MAPbI,nip,10.1002/aenm.201602600,63,Advanced Energy Materials,2017-03-03
3551,10.1117/12.2251885,2017-02-27,Oxide-based Materials and Devices VIII,1.11,21.0,0.65,15.0,100.0,1.6,MAPbI,nip,10.1117/12.2251885,0,SPIE Proceedings,2017-02-27
3552,10.1002/ente.201900990,2019-11-22,Energy Technology,1.04,22.12,0.66,15.0,100.0,1.6,MAPbI,nip,10.1002/ente.201900990,2,Energy Technology,2019-11-22
3553,10.1016/j.solener.2020.02.052,2020-02-19,Solar Energy,,,,15.0,100.0,,CsFAMAPbBrI,nip,10.1016/j.solener.2020.02.052,15,Solar Energy,2020-02-19
3554,10.1021/nl500627x,2014-05-01,Nano Letters,1.06,23.38,0.67,15.0,106.5,1.6,MAPbI,nip,10.1021/nl500627x,513,Nano Letters,2014-05-01
